X,Y,Z,IN_frac,MK_frac,INC_frac
9.44,-21.64,23.894094,0.083597015,0,0.916402985
10.62,-21.64,23.894094,0.083597015,0,0.916402985
0,-20.46,23.894094,0.167194031,0,0.832805969
1.18,-20.46,23.894094,0.167194031,0,0.832805969
2.36,-20.46,23.894094,0.167194031,0,0.832805969
3.54,-20.46,23.894094,0.167194031,0,0.832805969
4.72,-20.46,23.894094,0.167194031,0,0.832805969
5.9,-20.46,23.894094,0.167194031,0,0.832805969
7.08,-20.46,23.894094,0.167194031,0,0.832805969
8.26,-20.46,23.894094,0.167194031,0,0.832805969
9.44,-20.46,23.894094,0.167194031,0,0.832805969
10.62,-20.46,23.894094,0.167194031,0,0.832805969
0,-19.28,23.894094,0.208992538,0,0.791007462
1.18,-19.28,23.894094,0.208992538,0,0.791007462
2.36,-19.28,23.894094,0.208992538,0,0.791007462
3.54,-19.28,23.894094,0.208992538,0,0.791007462
4.72,-19.28,23.894094,0.208992538,0,0.791007462
5.9,-19.28,23.894094,0.208992538,0,0.791007462
7.08,-19.28,23.894094,0.208992538,0,0.791007462
8.26,-19.28,23.894094,0.208992538,0,0.791007462
9.44,-19.28,23.894094,0.208992538,0,0.791007462
10.62,-19.28,23.894094,0.208992538,0,0.791007462
0,-18.1,23.894094,0.250791046,0,0.749208954
1.18,-18.1,23.894094,0.250791046,0,0.749208954
2.36,-18.1,23.894094,0.250791046,0,0.749208954
3.54,-18.1,23.894094,0.250791046,0,0.749208954
4.72,-18.1,23.894094,0.250791046,0,0.749208954
5.9,-18.1,23.894094,0.250791046,0,0.749208954
7.08,-18.1,23.894094,0.250791046,0,0.749208954
8.26,-18.1,23.894094,0.250791046,0,0.749208954
9.44,-18.1,23.894094,0.250791046,0,0.749208954
10.62,-18.1,23.894094,0.250791046,0,0.749208954
0,-16.92,23.894094,0.292589554,0,0.707410446
1.18,-16.92,23.894094,0.292589554,0,0.707410446
2.36,-16.92,23.894094,0.292589554,0,0.707410446
3.54,-16.92,23.894094,0.292589554,0,0.707410446
4.72,-16.92,23.894094,0.292589554,0,0.707410446
5.9,-16.92,23.894094,0.292589554,0,0.707410446
7.08,-16.92,23.894094,0.292589554,0,0.707410446
8.26,-16.92,23.894094,0.292589554,0,0.707410446
9.44,-16.92,23.894094,0.292589554,0,0.707410446
10.62,-16.92,23.894094,0.292589554,0,0.707410446
0,-15.74,23.894094,0.334388061,0,0.665611939
1.18,-15.74,23.894094,0.334388061,0,0.665611939
2.36,-15.74,23.894094,0.334388061,0,0.665611939
3.54,-15.74,23.894094,0.334388061,0,0.665611939
4.72,-15.74,23.894094,0.334388061,0,0.665611939
5.9,-15.74,23.894094,0.334388061,0,0.665611939
7.08,-15.74,23.894094,0.334388061,0,0.665611939
8.26,-15.74,23.894094,0.334388061,0,0.665611939
9.44,-15.74,23.894094,0.334388061,0,0.665611939
10.62,-15.74,23.894094,0.334388061,0,0.665611939
0,-14.56,23.894094,0.376186569,0,0.623813431
1.18,-14.56,23.894094,0.376186569,0,0.623813431
2.36,-14.56,23.894094,0.376186569,0,0.623813431
3.54,-14.56,23.894094,0.376186569,0,0.623813431
4.72,-14.56,23.894094,0.376186569,0,0.623813431
5.9,-14.56,23.894094,0.376186569,0,0.623813431
7.08,-14.56,23.894094,0.376186569,0,0.623813431
8.26,-14.56,23.894094,0.376186569,0,0.623813431
9.44,-14.56,23.894094,0.376186569,0,0.623813431
10.62,-14.56,23.894094,0.376186569,0,0.623813431
0,-13.38,23.894094,0.459783584,0,0.540216416
1.18,-13.38,23.894094,0.459783584,0,0.540216416
2.36,-13.38,23.894094,0.459783584,0,0.540216416
