X,Y,Z
9.44,1.96,23.274094
10.62,1.96,23.274094
0,3.14,23.274094
1.18,3.14,23.274094
2.36,3.14,23.274094
3.54,3.14,23.274094
4.72,3.14,23.274094
5.9,3.14,23.274094
7.08,3.14,23.274094
8.26,3.14,23.274094
9.44,3.14,23.274094
10.62,3.14,23.274094
0,4.32,23.274094
1.18,4.32,23.274094
2.36,4.32,23.274094
3.54,4.32,23.274094
4.72,4.32,23.274094
5.9,4.32,23.274094
7.08,4.32,23.274094
8.26,4.32,23.274094
9.44,4.32,23.274094
10.62,4.32,23.274094
0,5.5,23.274094
1.18,5.5,23.274094
2.36,5.5,23.274094
3.54,5.5,23.274094
4.72,5.5,23.274094
5.9,5.5,23.274094
7.08,5.5,23.274094
8.26,5.5,23.274094
9.44,5.5,23.274094
10.62,5.5,23.274094
0,6.68,23.274094
1.18,6.68,23.274094
2.36,6.68,23.274094
3.54,6.68,23.274094
4.72,6.68,23.274094
5.9,6.68,23.274094
7.08,6.68,23.274094
8.26,6.68,23.274094
9.44,6.68,23.274094
10.62,6.68,23.274094
0,7.86,23.274094
1.18,7.86,23.274094
2.36,7.86,23.274094
3.54,7.86,23.274094
4.72,7.86,23.274094
5.9,7.86,23.274094
7.08,7.86,23.274094
8.26,7.86,23.274094
9.44,7.86,23.274094
10.62,7.86,23.274094
0,9.04,23.274094
1.18,9.04,23.274094
2.36,9.04,23.274094
3.54,9.04,23.274094
4.72,9.04,23.274094
5.9,9.04,23.274094
7.08,9.04,23.274094
8.26,9.04,23.274094
9.44,9.04,23.274094
10.62,9.04,23.274094
0,10.22,23.274094
1.18,10.22,23.274094
2.36,10.22,23.274094
3.54,10.22,23.274094
4.72,10.22,23.274094
5.9,10.22,23.274094
7.08,10.22,23.274094
8.26,10.22,23.274094
9.44,10.22,23.274094
10.62,10.22,23.274094
0,11.4,23.274094
1.18,11.4,23.274094
2.36,11.4,23.274094
3.54,11.4,23.274094
4.72,11.4,23.274094
5.9,11.4,23.274094
7.08,11.4,23.274094
8.26,11.4,23.274094
9.44,11.4,23.274094
10.62,11.4,23.274094
0,12.58,23.274094
1.18,12.58,23.274094
2.36,12.58,23.274094
3.54,12.58,23.274094
4.72,12.58,23.274094
5.9,12.58,23.274094
7.08,12.58,23.274094
8.26,12.58,23.274094
9.44,12.58,23.274094
10.62,12.58,23.274094
0,13.76,23.274094
1.18,13.76,23.274094
2.36,13.76,23.274094
3.54,13.76,23.274094
4.72,13.76,23.274094
5.9,13.76,23.274094
7.08,13.76,23.274094
8.26,13.76,23.274094
9.44,13.76,23.274094
10.62,13.76,23.274094
0,14.94,23.274094
1.18,14.94,23.274094
2.36,14.94,23.274094
3.54,14.94,23.274094
4.72,14.94,23.274094
5.9,14.94,23.274094
